author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
БЮРО НЕДВИЖИМОСТИ No1;https://spb.cian.ru/sale/flat/280616926/;Санкт-Петербург;sale;flat;1;5;2;57.0;9690000;Кировский;Автово;Автово;
ТРЕНД;https://spb.cian.ru/sale/flat/292399801/;Санкт-Петербург;sale;flat;4;6;4;82.2;16014000;Кировский;Новостроек;Кировский завод;
Бекар;https://spb.cian.ru/sale/flat/285000731/;Санкт-Петербург;sale;flat;1;5;4;105.5;17670000;Кировский;Маринеско;Автово;
СТАТУС;https://spb.cian.ru/sale/flat/292364234/;Санкт-Петербург;sale;flat;3;12;-1;34.56;5950000;Кировский;Автово;Автово;
Школа Недвижимости;https://spb.cian.ru/sale/flat/292000515/;Санкт-Петербург;sale;flat;12;12;-1;24.57;4925000;Кировский;Автово;Автово;
Ваш Выбор Санкт-Петербург;https://spb.cian.ru/sale/flat/292010004/;Санкт-Петербург;sale;flat;2;5;3;82.0;17600000;Кировский;Краснопутиловская;;
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;https://spb.cian.ru/sale/flat/286934792/;Санкт-Петербург;sale;flat;9;14;-1;20.7;5500000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
СТАТУС;https://spb.cian.ru/sale/flat/286000145/;Санкт-Петербург;sale;flat;3;12;-1;25.2;5900000;Кировский;Автово;Автово;
Эрмитаж Галерея Недвижимости;https://spb.cian.ru/sale/flat/286669971/;Санкт-Петербург;sale;flat;3;14;-1;20.5;5150000;Кировский;Автово;Кировский завод;Апарт-отель Putilov AVENIR
Лидер недвижимости;https://spb.cian.ru/sale/flat/283600438/;Санкт-Петербург;sale;flat;5;12;-1;24.9;4900000;Кировский;Автово;Автово;
Единый Центр Инвестиций;https://spb.cian.ru/sale/flat/289707286/;Санкт-Петербург;sale;flat;4;12;-1;25.67;5185000;Кировский;Автово;;
Адресат;https://spb.cian.ru/sale/flat/291907130/;Санкт-Петербург;sale;flat;2;5;3;82.0;17600000;Кировский;Краснопутиловская;Автово;
Просто недвижимость;https://spb.cian.ru/sale/flat/289026865/;Санкт-Петербург;sale;flat;3;6;2;51.7;10990000;Кировский;Маринеско;Автово;
СТРАТЕГИЯ;https://spb.cian.ru/sale/flat/292127239/;Санкт-Петербург;sale;flat;3;5;3;81.6;13500000;Кировский;Зайцева;;
ТОЧКАДОМ;https://spb.cian.ru/sale/flat/287298367/;Санкт-Петербург;sale;flat;4;6;2;58.0;12200000;Кировский;Маринеско;Автово;
ЮСОН;https://spb.cian.ru/sale/flat/290434693/;Санкт-Петербург;sale;flat;2;7;3;74.0;12700000;Кировский;Автово;Автово;
Самолет Плюс Литейный;https://spb.cian.ru/sale/flat/289097242/;Санкт-Петербург;sale;flat;4;5;4;82.2;14720000;Кировский;Новостроек;;
Ирина Короткова;https://spb.cian.ru/sale/flat/278956884/;Санкт-Петербург;sale;flat;5;7;3;77.0;14200000;Кировский;Автово;Автово;
